SegmentDir,Type,Metric,Value
M1 J23a-24 NB,Controlled,ADT,0.030871806997166337
M1 J23a-24 SB,Controlled,ADT,-0.17465374108269227
M1 J24-25 NB,ALR,ADT,0.03223911901167804
M1 J24-25 SB,ALR,ADT,-0.004470978793443947
M1 J28-29 NB,ALR,ADT,0.04429225054243012
M1 J28-29 SB,ALR,ADT,0.026091021568004892
M1 J29-29a NB,ALR,ADT,0.02712764528741289
M1 J29-29a SB,ALR,ADT,0.0511060293971846
M1 J29a-30 NB,ALR,ADT,0.04813698249806161
M1 J29a-30 SB,ALR,ADT,0.05403660834340106
M1 J30-31 NB,ALR,ADT,0.06733712061118342
M1 J30-31 SB,ALR,ADT,0.08924005848174633
M1 J32-33 NB,ALR,ADT,0.04315857443242976
M1 J32-33 SB,ALR,ADT,0.1605732855501792
M1 J33-34 NB,ALR,ADT,0.06071424368015073
M1 J33-34 SB,ALR,ADT,0.028189984877193642
M1 J34-35 NB,ALR,ADT,0.13505363019687275
M1 J34-35 SB,ALR,ADT,0.1142438203068483
M1 J35-35a NB,ALR,ADT,0.12723826737494554
M1 J35-35a SB,ALR,ADT,0.13065759157382847
M1 J39-40 NB,ALR,ADT,0.22274406775302036
M1 J39-40 SB,ALR,ADT,0.004430960253821251
M1 J40-41 NB,ALR,ADT,0.23270369754943898
M1 J40-41 SB,ALR,ADT,-0.03932020046611397
M5 J4a-5 NB,ALR,ADT,-0.023759218289452797
M5 J4a-5 SB,ALR,ADT,0.03255717396650666
M5 J5-6 NB,ALR,ADT,-0.02386861372727948
M5 J5-6 SB,ALR,ADT,0.010874732813948136
M6 J10a-11 NB,Controlled,ADT,0.12740068662132456
M6 J10a-11 SB,Controlled,ADT,0.24158792981801594
M6 J11a-12 NB,ALR,ADT,0.05238586245615935
M6 J11a-12 SB,ALR,ADT,-0.23537735889469685
M6 J12-13 NB,ALR,ADT,-0.02782626598962645
M6 J12-13 SB,ALR,ADT,0.03750088772891408
M6 J16-17 NB,ALR,ADT,0.06448401743767924
M6 J16-17 SB,ALR,ADT,0.01273044688656786
M6 J17-18 NB,ALR,ADT,0.12044039471517688
M6 J17-18 SB,ALR,ADT,-0.04521245205930223
M6 J18-19 NB,ALR,ADT,-0.0382277326501632
M6 J18-19 SB,ALR,ADT,0.024996024586086518
M60 J16-17 CW,Controlled,ADT,0.013460563179389679
M60 J17-18 AC,Controlled,ADT,0.009495610100684308
M60 J8-9 AC,Controlled,ADT,0.07564235177702032
M60 J8-9 CW,Controlled,ADT,0.08395466145904208
M62 J19-20 WB,ALR,ADT,0.09239058344161528
M1 J23a-24 NB,Controlled,Average Speed,0.06158712418795135
M1 J23a-24 SB,Controlled,Average Speed,0.021791859633625066
M1 J24-25 NB,ALR,Average Speed,0.023092237166845674
M1 J24-25 SB,ALR,Average Speed,0.03420854999529931
M1 J28-29 NB,ALR,Average Speed,-0.023327656161567668
M1 J28-29 SB,ALR,Average Speed,-0.019900325705525742
M1 J29-29a NB,ALR,Average Speed,-0.0319661808063285
M1 J29-29a SB,ALR,Average Speed,-0.015497296476261775
M1 J29a-30 NB,ALR,Average Speed,-0.04098783417496434
M1 J29a-30 SB,ALR,Average Speed,-0.01652066238596455
M1 J30-31 NB,ALR,Average Speed,-0.01755421152620292
M1 J30-31 SB,ALR,Average Speed,0.0008475471378082004
M1 J32-33 NB,ALR,Average Speed,0.03972891535941322
M1 J32-33 SB,ALR,Average Speed,0.00501959313171001
M1 J33-34 NB,ALR,Average Speed,0.02205995773222889
M1 J33-34 SB,ALR,Average Speed,-0.02541317807040378
M1 J34-35 NB,ALR,Average Speed,0.01625376944949938
M1 J34-35 SB,ALR,Average Speed,0.1298423963414108
M1 J35-35a NB,ALR,Average Speed,0.004310379316828969
M1 J35-35a SB,ALR,Average Speed,0.03122253883329978
M1 J39-40 NB,ALR,Average Speed,0.16029317659371015
