SegmentDir,Month,Fatal,Serious,Slight
M1 J10-11 NB,2013-03-01,0.0,0.0,1.0
M1 J10-11 NB,2013-04-01,0.0,1.0,0.0
M1 J10-11 NB,2013-05-01,0.0,0.0,1.0
M1 J10-11 NB,2013-09-01,0.0,1.0,1.0
M1 J10-11 NB,2013-10-01,0.0,1.0,1.0
M1 J10-11 NB,2013-11-01,0.0,1.0,2.0
M1 J10-11 NB,2013-12-01,0.0,0.0,2.0
M1 J10-11 NB,2014-03-01,0.0,0.0,3.0
M1 J10-11 NB,2014-04-01,0.0,1.0,0.0
M1 J10-11 NB,2014-05-01,0.0,0.0,2.0
M1 J10-11 NB,2014-06-01,0.0,0.0,1.0
M1 J10-11 NB,2014-07-01,0.0,0.0,3.0
M1 J10-11 NB,2014-11-01,0.0,1.0,2.0
M1 J10-11 NB,2014-12-01,0.0,0.0,1.0
M1 J10-11 NB,2015-01-01,0.0,0.0,3.0
M1 J10-11 NB,2015-07-01,0.0,2.0,2.0
M1 J10-11 NB,2015-09-01,0.0,0.0,1.0
M1 J10-11 NB,2015-11-01,0.0,0.0,2.0
M1 J10-11 NB,2015-12-01,0.0,0.0,1.0
M1 J10-11 NB,2016-03-01,0.0,0.0,1.0
M1 J10-11 NB,2016-04-01,0.0,0.0,2.0
M1 J10-11 NB,2016-05-01,0.0,0.0,1.0
M1 J10-11 NB,2016-06-01,0.0,0.0,1.0
M1 J10-11 NB,2016-07-01,0.0,1.0,0.0
M1 J10-11 NB,2016-08-01,0.0,0.0,1.0
M1 J10-11 NB,2016-09-01,0.0,0.0,1.0
M1 J10-11 NB,2016-10-01,0.0,0.0,1.0
M1 J10-11 NB,2016-11-01,0.0,1.0,2.0
M1 J10-11 NB,2016-12-01,0.0,0.0,1.0
M1 J10-11 NB,2017-01-01,0.0,1.0,2.0
M1 J10-11 NB,2017-02-01,0.0,0.0,2.0
M1 J10-11 NB,2017-04-01,0.0,0.0,3.0
M1 J10-11 NB,2017-06-01,0.0,1.0,1.0
M1 J10-11 NB,2017-07-01,0.0,0.0,2.0
M1 J10-11 NB,2017-09-01,0.0,0.0,1.0
