SiteID,Active,Section,SegmentDir,Type,StartDate,SegLength
5159,0,M1 J23a-24,M1 J23a-24 NB,Controlled,27/02/2019,2352.682
3033,0,M1 J23a-24,M1 J23a-24 SB,Controlled,27/02/2019,2528.797
3749,0,M1 J24-25,M1 J24-25 NB,ALR,27/02/2019,8611.42
4418,0,M1 J24-25,M1 J24-25 SB,ALR,27/02/2019,8085.36
2052,0,M1 J28-31,M1 J28-29 NB,ALR,31/03/2017,11790.411
6103,0,M1 J28-31,M1 J28-29 SB,ALR,31/03/2017,11777.3
4442,0,M1 J28-31,M1 J29-29a NB,ALR,31/03/2017,5437.949
4062,0,M1 J28-31,M1 J29-29a SB,ALR,31/03/2017,5419.325
3588,0,M1 J28-31,M1 J29a-30 NB,ALR,31/03/2017,5158.758
3306,0,M1 J28-31,M1 J29a-30 SB,ALR,31/03/2017,5070.539
2809,0,M1 J32-35a,M1 J32-33 NB,ALR,31/03/2017,5838.927
3318,0,M1 J32-35a,M1 J32-33 SB,ALR,31/03/2017,5722.318
237,0,M1 J32-35a,M1 J33-34 NB,ALR,31/03/2017,4196.516
4035,0,M1 J32-35a,M1 J33-34 SB,ALR,31/03/2017,4166.355
37,0,M1 J32-35a,M1 J34-35 NB,ALR,31/03/2017,5709.039
5646,0,M1 J32-35a,M1 J34-35 SB,ALR,31/03/2017,5701.568
3178,0,M1 J32-35a,M1 J35-35a NB,ALR,31/03/2017,2836.449
4487,0,M1 J32-35a,M1 J35-35a SB,ALR,31/03/2017,2826.394
4957,0,M20 J3-5,M20 J4-5 EB,ALR,31/03/2020,4392.34
920,0,M20 J3-5,M20 J4-5 WB,ALR,31/03/2020,4425.906
4163,0,M23 J8-10,M23 J8-9 NB,ALR,31/03/2020,12087.509
877,0,M23 J8-10,M23 J8-9 SB,ALR,31/03/2020,12062.113
5670,0,M3 J2-4A,M3 J2-3 EB,ALR,01/08/2017,11414.125
805,0,M3 J2-4A,M3 J3-4 NB,ALR,01/08/2017,7062.285
1786,0,M3 J2-4A,M3 J4-4A NB,ALR,01/08/2017,2934.536
4850,0,M5 J4a-6,M5 J4a-5 NB,ALR,26/05/2016,9155.37
3943,0,M5 J4a-6,M5 J4a-5 SB,ALR,26/05/2016,8070.041
4930,0,M5 J4a-6,M5 J5-6 NB,ALR,26/05/2016,9244.899
1093,0,M5 J4a-6,M5 J5-6 SB,ALR,26/05/2016,9242.961
5716,0,M6 J16-19,M6 J16-17 NB,ALR,20/03/2019,10499.241
6010,0,M6 J16-19,M6 J16-17 SB,ALR,20/03/2019,10597.851
2990,0,M6 J16-19,M6 J17-18 NB,ALR,20/03/2019,5960.919
3317,0,M6 J16-19,M6 J17-18 SB,ALR,20/03/2019,5942.912
1354,0,M6 J16-19,M6 J18-19 NB,ALR,20/03/2019,13087.336
1913,0,M6 J16-19,M6 J18-19 SB,ALR,20/03/2019,13108.824
4558,0,M6 J2-3a,M6 J2-3 NB,ALR,12/03/2020,5670.304
3689,0,M6 J2-3a,M6 J2-3 SB,ALR,12/03/2020,5139.532
624,0,M6 J2-3a,M6 J3-3a NB,ALR,12/03/2020,12827.152
1756,0,M6 J2-3a,M6 J3-3a SB,ALR,12/03/2020,12225.792
9871,0,M6 J3a-4,M6 J3a-4 SB,Controlled,12/03/2020,3549.735
2026,0,M60 J8-18,M60 J10-11 AC,Controlled,31/07/2018,1840.118
2798,0,M60 J8-18,M60 J13-15 AC,Controlled,31/07/2018,3712.856
2527,0,M60 J8-18,M60 J13-15 CW,Controlled,31/07/2018,3671.983
1230,0,M60 J8-18,M60 J15-16 AC,Controlled,31/07/2018,1597.195
4796,0,M60 J8-18,M60 J15-16 CW,Controlled,31/07/2018,1617.977
